workload,total_num_tasks,total_task_durations,total_num_objects,total_object_sizes,norm_critical_path,num_nodes,worker_per_node,data_transfer_cost,scheduler,total job completion
rnn,217,2.2223927975,216,304192,0.9967651824,10,4,1, location_aware,8038.872981
rnn,217,2.2223927975,216,304192,0.9967651824,10,4,10, location_aware,80182.872981
rnn,217,2.2223927975,216,304192,0.9967651824,10,4,100, location_aware,801622.872981
rnn,217,2.2223927975,216,304192,0.9967651824,10,5,0.001, location_aware,27.896981
rnn,217,2.2223927975,216,304192,0.9967651824,10,5,0.01, location_aware,73.112981
rnn,217,2.2223927975,216,304192,0.9967651824,10,5,0.1, location_aware,525.272981
rnn,217,2.2223927975,216,304192,0.9967651824,10,5,1, location_aware,5046.872981
rnn,217,2.2223927975,216,304192,0.9967651824,10,5,10, location_aware,50262.872981
rnn,217,2.2223927975,216,304192,0.9967651824,10,5,100, location_aware,502422.872981
rnn,217,2.2223927975,216,304192,0.9967651824,5,2,0.001, trivial_local,26.02827
rnn,217,2.2223927975,216,304192,0.9967651824,5,2,0.01, trivial_local,113.58027
rnn,217,2.2223927975,216,304192,0.9967651824,5,2,0.1, trivial_local,989.10027
rnn,217,2.2223927975,216,304192,0.9967651824,5,2,1, trivial_local,9744.30027
rnn,217,2.2223927975,216,304192,0.9967651824,5,2,10, trivial_local,97296.30027
rnn,217,2.2223927975,216,304192,0.9967651824,5,2,100, trivial_local,972816.30027
rnn,217,2.2223927975,216,304192,0.9967651824,5,3,0.001, trivial_local,18.87227
rnn,217,2.2223927975,216,304192,0.9967651824,5,3,0.01, trivial_local,42.92027
rnn,217,2.2223927975,216,304192,0.9967651824,5,3,0.1, trivial_local,283.40027
rnn,217,2.2223927975,216,304192,0.9967651824,5,3,1, trivial_local,2688.20027
rnn,217,2.2223927975,216,304192,0.9967651824,5,3,10, trivial_local,26736.20027
rnn,217,2.2223927975,216,304192,0.9967651824,5,3,100, trivial_local,267216.20027
rnn,217,2.2223927975,216,304192,0.9967651824,5,4,0.001, trivial_local,16.20027
rnn,217,2.2223927975,216,304192,0.9967651824,5,4,0.01, trivial_local,16.20027
rnn,217,2.2223927975,216,304192,0.9967651824,5,4,0.1, trivial_local,16.20027
rnn,217,2.2223927975,216,304192,0.9967651824,5,4,1, trivial_local,16.20027
rnn,217,2.2223927975,216,304192,0.9967651824,5,4,10, trivial_local,16.20027
rnn,217,2.2223927975,216,304192,0.9967651824,5,4,100, trivial_local,16.20027
rnn,217,2.2223927975,216,304192,0.9967651824,5,5,0.001, trivial_local,16.20027
rnn,217,2.2223927975,216,304192,0.9967651824,5,5,0.01, trivial_local,16.20027
rnn,217,2.2223927975,216,304192,0.9967651824,5,5,0.1, trivial_local,16.20027
rnn,217,2.2223927975,216,304192,0.9967651824,5,5,1, trivial_local,16.20027
rnn,217,2.2223927975,216,304192,0.9967651824,5,5,10, trivial_local,16.20027
rnn,217,2.2223927975,216,304192,0.9967651824,5,5,100, trivial_local,16.20027
rnn,217,2.2223927975,216,304192,0.9967651824,6,2,0.001, trivial_local,26.02827
rnn,217,2.2223927975,216,304192,0.9967651824,6,2,0.01, trivial_local,113.58027
rnn,217,2.2223927975,216,304192,0.9967651824,6,2,0.1, trivial_local,989.10027
rnn,217,2.2223927975,216,304192,0.9967651824,6,2,1, trivial_local,9744.30027
rnn,217,2.2223927975,216,304192,0.9967651824,6,2,10, trivial_local,97296.30027
rnn,217,2.2223927975,216,304192,0.9967651824,6,2,100, trivial_local,972816.30027
rnn,217,2.2223927975,216,304192,0.9967651824,6,3,0.001, trivial_local,18.87227
rnn,217,2.2223927975,216,304192,0.9967651824,6,3,0.01, trivial_local,42.92027
rnn,217,2.2223927975,216,304192,0.9967651824,6,3,0.1, trivial_local,283.40027
rnn,217,2.2223927975,216,304192,0.9967651824,6,3,1, trivial_local,2688.20027
