workers,scale,load,1 layer average time,1 layer 90th precntile,1 layer worst time, 2 layers average time,2 layers 90th precntile,2 layers worst time, 3 layers average time,3 layers 90th precntile,3 layers worst time, 4 layers average time,4 layers 90th precntile,4 layers worst time, 5 layers average time,5 layers 90th precntile,5 layers worst time, 6 layers average time,6 layers 90th precntile,6 layers worst time
2,5,2,0.359452009201,0.181925058365,2.75547194481,0.158597421646,0.178453922272,0.181747198105,0.230808019638,0.233170032501,0.281052112579,0.318306159973,0.33779001236,0.38000202179,0.402816772461,0.44429898262,0.4703810215,0.499880719185,0.601415157318,0.67410492897
2,10,5,0.300947928429,0.0862519741058,2.31680798531,0.157840895653,0.177039861679,0.182117938995,0.268362903595,0.334864854813,0.39653301239,0.35760474205,0.456618070602,0.51420712471,0.400925016403,0.434715032578,0.457602977753,0.484683680534,0.510164022446,0.571341991425
2,15,7,0.310366463661,0.175508975983,2.23372101784,0.223529672623,0.338376998901,0.551159858704,0.302366018295,0.507488965988,0.555292844772,0.40357105732,0.698337078094,0.716639995575,0.556384921074,0.911448955536,0.944006919861,0.680675530434,1.07614707947,1.16664004326
2,20,10,0.628942084312,0.193903923035,4.65136909485,0.383640885353,0.512871980667,0.540133953094,0.55097284317,0.581614971161,0.581933021545,0.75582280159,0.778708934784,0.901062965393,0.955926060677,1.02017903328,1.0573720932,1.16893339157,1.26106500626,1.30572199821
2,25,12,0.616254782677,0.198823928833,4.75051307678,0.290187096596,0.396249055862,0.397917032242,0.462277746201,0.579056024551,0.811250925064,0.724376940727,0.909554004669,0.98347401619,0.798399209976,1.00092983246,1.04645395279,1.00129568577,1.29906392097,1.35969209671
2,30,15,0.376135778427,0.188642024994,2.67797207832,0.219357967377,0.284696102142,0.348134994507,0.386070775986,0.486851930618,0.72594499588,0.545601630211,0.659552097321,0.709367990494,0.682360982895,0.732449054718,0.95484495163,0.760853695869,0.934472084045,0.940559148788
2,35,17,0.458174920082,0.225256204605,3.35220789909,0.275689315796,0.311697006226,0.471493959427,0.399700331688,0.437790870667,0.54855799675,0.535679507256,0.625488996506,0.731575965881,0.705955219269,0.82136797905,0.865817070007,0.819383120537,0.991855144501,1.14885997772
2,40,20,0.391102099419,0.2131960392,2.63300204277,0.259550285339,0.325838088989,0.448750972748,0.427348327637,0.44852399826,0.572139024734,0.673196291924,0.779042959213,0.847774028778,0.702986478806,0.805907964706,0.841860055923,0.853690695763,0.899538993835,1.00662517548
2,45,22,0.430941438675,0.245641946793,2.82568788528,0.33211209774,0.496002912521,0.63091301918,0.49295899868,0.586288928986,0.621818065643,0.644391345978,0.799138069153,0.97024512291,0.800536036491,0.898389101028,0.922179937363,0.929588580132,1.05422115326,1.07268309593
2,50,25,0.462134194374,0.2552318573,2.948335886,0.376886963844,0.379450798035,0.708713054657,0.477071380615,0.625523090363,0.652791023254,0.728601789474,0.837444067001,0.935231924057,0.818864607811,0.914075136185,1.02814602852,1.03367176056,1.14838695526,1.27511405945
3,5,1,0.469768381119,0.164005994797,3.75865006447,0.224786901474,0.324635982513,0.359880924225,0.327290391922,0.360201835632,0.450865030289,0.463728427887,0.52822804451,0.709053993225,0.507382655144,0.568407773972,0.651200056076,0.616140651703,0.774673938751,0.908876180649
3,10,3,0.556532669067,0.232048988342,4.54966497421,0.205084776878,0.264182090759,0.320204973221,0.304905438423,0.361350059509,0.459020137787,0.441846370697,0.56512093544,0.607740879059,0.519963049889,0.609580993652,0.667670965195,0.63281056881,0.756716966629,0.783450841904
3,15,5,0.551855754852,0.164328098297,4.50326609612,0.194927668571,0.255083084106,0.265401124954,0.330956315994,0.361756086349,0.602606058121,0.418776893616,0.463758945465,0.565123081207,0.537111449242,0.642850875854,0.774076938629,0.687019705772,0.866286039352,0.98893404007
3,20,6,0.519369268417,0.190958976746,4.10192799568,0.188353514671,0.229156970978,0.316086053848,0.392478299141,0.504312038422,0.538501024246,0.443792796135,0.568711042404,0.692983865738,0.552477216721,0.653137207031,0.814011096954,0.672052598,0.770527124405,0.784486055374
3,25,8,0.507404232025,0.189233064651,4.02554702759,0.238994574547,0.28310585022,0.289194107056,0.405790710449,0.491291999817,0.56054520607,0.415773010254,0.478495121002,0.648100852966,0.616068029404,0.792320013046,0.845552921295,0.68561000824,0.785362958908,0.954421043396
3,30,10,0.534296584129,0.210187911987,4.23331689835,0.236388444901,0.291886091232,0.357732057571,0.407295370102,0.569592952728,0.655241966248,0.50046749115,0.622713088989,0.843759059906,0.603297901154,0.693697929382,0.711318016052,0.743661570549,0.830929040909,0.85976600647
3,35,11,0.512931680679,0.180125951767,4.09931111336,0.264307308197,0.3040599823,0.492144107819,0.408030128479,0.516541957855,0.561207056046,0.564729142189,0.646580219269,0.717847108841,0.67074239254,0.766957998276,0.857007980347,0.80640900135,0.97024512291,1.06260085106
